velocity_rank,video_id,title,channel,views,likes,comments,age_hours,views_per_hour,engagement_rate,velocity_score
1,X1aFkAkFASk,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,31355626,1295618,57396,129.68549033583332,241782.06766849186,0.04315059759929526,252215.1083771805
2,SQ4jZ-EAL88,Vaaroon Forever (Official Video) | Mirzapur The Movie | Shreya Ghoshal | Romy | Anand B | Ginny D,Excel Movies,7639686,86729,2159,53.34410144694444,143215.1970466381,0.011635033167593537,144881.5106143792
3,rbQEoVzHNSE,"Prem Keetanu | Official Teaser |Veer, Aparshakti, Aafiya, Nikhil, Rakesh B, Apoorv| In Cinemas 2 Oct",Avanika Films,10382367,3072,218,79.37382366916665,130803.41251133535,0.0003168834235969505,130844.8619445101
4,oi2QgPH61JM,Black Myth: Zhong Kui – 15 Minutes Gameplay Trailer,Black Myth,1079772,81888,9001,11.7846570025,91625.23777916803,0.08417425160126397,99337.72359701736
5,QnQnz9G2LNw,MALLEPOOLA PALLAKI (Song) | Ravi Teja | GV Prakash | Dappu Srinu | Shiva Nirvana | Irumudi,T-Series Telugu,8289412,178581,4802,95.23465700249999,87041.9683433353,0.022122558270719322,88967.55936000886
6,ac9wmAnwep8,🔴LIVE GTA 5 GAMEPLAY | #gta5 #gtav #gaming,SANGU IS LIVE,217220,809,2,2.5546570025,85029.0272969825,0.003733542031120523,85346.48674426107
7,YhlT3olnrbQ,GTA 5 LIVE  #gta5 #gtav #gaming,PAJI IS LIVE,826586,2948,0,10.347712558055555,79881.03606110647,0.003566477051389692,80165.92994305963
8,ww1JSKw1XZc,GTA 5 LIVE #gta5 #gtav #gaming,HR20 GamerZ,196987,1312,0,2.4916014469444443,79060.39717611075,0.006660337991847178,79586.96614307334
9,kwkPGYJkzek,🔴LIVE GTA 5 GAMEPLAY | RAAJOO GAMING,Raajoo Gaming,837196,3116,0,11.8896570025,70413.8058670629,0.0037219480265075324,70675.8823928487
10,ZBFzUSdS2nI,BiiiG,BIGBANG - Topic,1280382,39351,2365,28.741879224722222,44547.60908252249,0.032580901637167654,45999.01035221115
11,2yN3TXF0DZY,AAJ BANAUNGA 50 STREAK ⭐🚀GO FOR 300K ?,DEVBRAT LIVE,777004,8425,1,17.948823669166664,43289.96787320242,0.010844217018187809,43759.413679529796
12,8NiMCt2o-uQ,Khalifa Trailer - Prithviraj Sukumaran | Vysakh | Jinu V Abhraham | Jakes Bejoy,Sony Music Malayalam,4002981,101135,5142,94.74687922472222,42249.21214033513,0.0265494640119451,43370.906077587984
13,rkV7--wYUJ8,"Toh Phir Aao - New Version | Lyric Video | Awarapan 2 | Emraan | Mithoon, Mustafa, Sayeed, Subodhh",Sony Music India,2912054,45624,2081,74.98771255805555,38833.74889913444,0.01638190775308425,39469.9197913065
14,7o3HZeYIJaA,LEGACY EP 10 | THE SOUNDS OF INDIA | @raftaarmusic x @KRSNAOfficial,Kalamkaar,251790,21411,1998,7.291045891388889,34534.140060396174,0.09297033241987371,37744.79054164568
15,mFoaalFEt2E,FIRE V/S ICE ELEMENTAL IN RIVALS ROBLOX !!,Shivang Mini,135811,4801,4764,4.159934780277777,32647.386839783892,0.07042875761168094,34946.70173417781
16,xc6t43BS2Dk,We Faked Our Death in Minecraft..,Carry Depie,779520,14336,772,25.786879224722224,30229.326829617436,0.01938115763546798,30815.20617811633
17,wQAXX0y86Ko,Toxic English Trailer Review | Yogi Bolta Hai,YOGI BOLTA HAI,301540,12384,353,10.525490335833332,28648.54656446998,0.04223983551104331,29858.65645898366
18,-Ku-mjcgUyY,THE RAILWAY CHAI WALA 😱| INDIAN HORROR GAME,NotGamerFleet,163538,13507,1156,6.285490335833334,26018.336082338123,0.08966111851679733,28351.169197426505
19,L-Az6_o6yJw,I MADE EVERY GOD ARMOUR IN MINECRAFT😱| Fleet Kingdom,Anshu Bisht,756991,51406,3968,30.281879224722225,24998.151349272608,0.0731501431324811,26826.76969851932
